candidate_id,testcase_class,source_file
1,tests.python.unittest.test_tir_schedule_state_cached_flags::test_warp_memory,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_schedule_state_cached_flags.py
2,tests.python.unittest.test_arith_rewrite_simplify::test_cast_simplify,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_arith_rewrite_simplify.py
3,tests.python.unittest.test_tir_schedule_compute_inline::test_compute_inline_fail_multi_writer,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_schedule_compute_inline.py
4,tests.python.relay.test_pass_lazy_gradient_init::test_ret_tuple,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_pass_lazy_gradient_init.py
5,tests.python.unittest.test_tir_transform_loop_partition::test_cce_loop_3,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_transform_loop_partition.py
6,tests.python.relay.test_vm_serialization::test_adt_compose,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_vm_serialization.py
7,tests.python.driver.tvmc.test_runner::test_format_times__contains_header,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/driver/tvmc/test_runner.py
8,tests.python.relay.test_pass_legalize::test_legalize,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_pass_legalize.py
9,tests.python.contrib.test_ethosu.test_legalize::test_binary_add_from_constant_scalar,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/contrib/test_ethosu/test_legalize.py
10,tests.python.unittest.test_auto_scheduler_search_policy::test_workload_registry_empty_policy,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_auto_scheduler_search_policy.py
11,tests.python.relay.test_runtime::test_list_runtimes,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_runtime.py
12,tests.python.relay.test_pass_plan_devices::test_reshape_tensor,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_pass_plan_devices.py
13,tests.python.unittest.test_arith_const_int_bound::test_add_sub_bound,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_arith_const_int_bound.py
14,tests.python.contrib.test_arm_compute_lib.test_pooling::test_global_pooling,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/contrib/test_arm_compute_lib/test_pooling.py
15,tests.python.unittest.test_tir_transform_compact_buffer_region::test_match_buffer,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_transform_compact_buffer_region.py
16,tests.python.relay.test_pass_unmatched_cases::test_expanding_ctor_with_no_args,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_pass_unmatched_cases.py
17,tests.python.unittest.test_tir_transform_flatten_buffer::test_gpu_workload,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_transform_flatten_buffer.py
18,tests.python.relay.test_to_mixed_precision::test_convert_conv_bn,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_to_mixed_precision.py
19,tests.python.unittest.test_tir_schedule_compute_at::test_reverse_compute_at_blockized_2,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_schedule_compute_at.py
20,tests.python.relay.test_op_level5::test_default_value,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/relay/test_op_level5.py
21,tests.python.unittest.test_tir_schedule_reorder::test_reorder_fail_with_multi_appearance_loops,/home/lili/TC_try/TVM_e29cf4/repo/tvm_git_e29cf4/tests/python/unittest/test_tir_schedule_reorder.py
