时间,会话ID,模型,输入tokens,输出tokens,缓存读取,缓存创建,总计tokens,用户提示词,回复摘要
2026-07-14T05:43:58.200Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,26365,507,0,0,26872,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260714_111734/dataset_variants/with_non_regression/model_pro,
2026-07-14T05:43:59.689Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,26365,507,0,0,26872,,
2026-07-14T05:44:00.264Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,26365,507,0,0,26872,,
2026-07-14T05:44:00.862Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,26365,507,0,0,26872,,
2026-07-14T05:44:01.456Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,26365,507,0,0,26872,,
2026-07-14T05:44:32.671Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,19433,2692,26752,0,22125,,
2026-07-14T05:45:09.816Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,574,477,48768,0,1051,,
2026-07-14T05:45:14.623Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,574,477,48768,0,1051,,
2026-07-14T05:47:16.327Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,1995,5125,49792,0,7120,,
2026-07-14T05:47:47.789Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,5221,2466,51712,0,7687,,
2026-07-14T05:49:15.673Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,14716,26163,56832,0,40879,,
2026-07-14T05:52:25.342Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,147,621,97664,0,768,,
2026-07-14T05:52:53.534Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,258,217,98432,0,475,,
2026-07-14T05:52:56.198Z,b4e16ee1-16ab-4ac3-9870-87706cad220a,deepseek-v4-pro,131,555,98816,0,686,,
2026-07-14T05:44:38.187Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,26365,454,0,0,26819,<ide_opened_file>The user opened the file /home/lili/TC_try/rank_result/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/a37c111/run_20260714_111734/dataset_variants/without_non_regression/model_,
2026-07-14T05:44:39.620Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,26365,454,0,0,26819,,
2026-07-14T05:44:40.198Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,26365,454,0,0,26819,,
2026-07-14T05:44:40.791Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,26365,454,0,0,26819,,
2026-07-14T05:44:54.757Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,18230,1320,26752,0,19550,,
2026-07-14T05:44:57.483Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,18230,1320,26752,0,19550,,
2026-07-14T05:44:58.540Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,18230,1320,26752,0,19550,,
2026-07-14T05:44:59.549Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,18230,1320,26752,0,19550,,
2026-07-14T05:45:00.569Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,18230,1320,26752,0,19550,,
2026-07-14T05:45:06.757Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,4709,828,46208,0,5537,,
2026-07-14T05:45:08.913Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,4709,828,46208,0,5537,,
2026-07-14T05:45:09.917Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,4709,828,46208,0,5537,,
2026-07-14T05:45:10.943Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,4709,828,46208,0,5537,,
2026-07-14T05:45:11.929Z,ef0f8ce1-9315-4524-a0bc-3804dd206407,deepseek-v4-pro,4709,828,46208,0,5537,,
